label,username,tweet
positif,adyanandita4,"Dalam kepemimpinan Prabowo, saya yakin Indonesia akan semakin maju dan berkembang. Mari bersama-sama membangun negeri ini menjadi lebih baik. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,rafifknzoo,"Sebagai seorang teman, aku bangga memiliki Prabowo Subianto sebagai bakal calon presiden. Ia adalah pemimpin yang berani dan tegas dalam menghadapi tantangan. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,bunganonaaa,Relawan Bolone Mase Sumatra Barat sepakat usung mas Gibran menjadi cawapres di Pemilu 2024 nih guys. kalo aku sih setuju banget karna pengen punya pemimpin muda biar lebih fresh  Kita Menang Indonesia Senang Gibran Gen Z Ferel https://t.co/82rmwfOh4N
positif,MelatiJelita5,Saya yakin Prabowo akan menjadi lawan yang tangguh dan mampu membawa perubahan positif bagi Indonesia. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,DeviPramst22,"Sebagai figur berdaulat, saya mendukung Prabowo Subianto sebagai pemimpin yang dapat membawa Indonesia ke arah yang lebih baik. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,novilahamidah16,"Sebagai seorang sosial media personality, saya mendukung Prabowo sebagai pilihan terbaik untuk melanjutkan kepemimpinan Jokowi. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,dhobsclubhouse,"@RajaJuliAntoni Sebagai pendukung pak jokowi 2014, saya juga merasakan hawa dukungan besar publik kepada pak jokowi saat itu sangat besar, dan saat ini hawa dukungan besar publik itu juga sama terasa dan mungkin melebihi di sosok anies baswedan untuk di pemilu 2024"
positif,neoneko_Orange,"@VIVAcoid ibarat sistem bernegara, demokrasi adalah yg terburuk, tapi tdk ada yg lebih baik dari demokrasi.. begitu pula dengan pak @prabowo , pemilu yg lalu saya tidak pilih, tapi 2024, ga ada pilihan lain, pak @prabowo pemenangnya.. dari thn lalu isu capres,  udh yakin, pasti bapak 💪🏼"
positif,SintaMlni12,"Sebagai sosok yang peduli dengan masa depan bangsa, saya mendukung Prabowo Subianto sebagai calon presiden. Mari kita bersatu dan memberikan dukungan penuh untuk beliau. Indonesia akan maju bersama #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,ZahwaLutvita,Prabowo Subianto adalah sosok yang bisa diandalkan dan berpengalaman. Saya yakin dia akan menjadi presiden yang hebat! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,00bx4ci,"review capres 2024 pls, aku otw ikut pemilu 🤡"
positif,KPU_Kediri,"Saya harap dalam pertarungan politik ini, semua tokoh dan masayarakat yang terlibat dapat tetap menjaga kesantuna demi suksesnya Pemilu tahun 2024,"" ucap Jokowi."""
positif,CitraApriiani,"Sebagai Direktur Eksekutif KPN, saya yakin Prabowo Subianto dapat membawa perubahan positif dalam kepemimpinannya. Mari bersama-sama mendukung beliau dalam Pilpres 2024. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,pakar_ai,@kumparan saya tebak ganjar-gibran menang pemilu jadi presiden dan wakil presiden 2024. Namanya juga tebak2an tp saya ttp golput. persetan dengan politikus
positif,hannysetiawan,"Sejak dari Solo, Jakarta, Sampai R1 dua kali ada kelompok  yang aktif mendukung dari kejauhan.  Tidak pernah masuk karena bukan panggilannya.  Setelah selesai semua kembali jadi orang2 biasa...&amp  akan muncul lagi ketika pertiwi memanggil.  Saya percaya itu #pemilu2024"
positif,AkhmadIksan1,"Saya mendukung PKB mewujudkan momentum pesta demokrasi Pemilu 2024 tanpa ujaran kebencian.  Politik Riang Gembira, Gus Muhaimin yang Visioner.   #PKBPartaiAsyik #GusIminPKBsatu  @cakimiNOW @DPP_PKB @EmHasanuddin https://t.co/93gSAjWaoH"
positif,tifani_shovia,"Bagi saya, Prabowo Subianto adalah sosok yang mampu merealisasikan persatuan bangsa dan negara. Semoga beliau terus menjadi inspirasi bagi generasi muda Indonesia. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,hyunaindira,"Melihat contoh Prabowo Subianto yang merangkul para penentangnya, saya semakin yakin bahwa persatuan dan rekonsiliasi adalah kunci keberhasilan dalam pemilu ini. Mari kita ikuti jejaknya dan jaga pemilu #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,hanumaldaptr,Saya bangga dengan komitmen Prabowo dalam hilirisasi hasil tambang. Program ini akan memberikan manfaat besar bagi rakyat Indonesia dan meningkatkan daya saing negara kita di kancah internasional. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,yudilasukmasari,"Bagi saya, kedekatan Gus Dur dengan Prabowo bukanlah hal yang mengejutkan. Keduanya memiliki visi dan misi yang sejalan untuk memajukan bangsa ini. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,DeviPramst22,"Sebagai Sekretaris Jenderal Partai Gelora, saya mendukung pencapresan Prabowo Subianto di Pilpres 2024. Kedekatan dan kesamaan visi-misi menjadi alasan utama bagi kami. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,vasyaawaliazulf,Saya sangat terinspirasi oleh semangat dan dedikasi Prabowo dalam memperjuangkan kepentingan rakyat. Mari bersama-sama mendukung beliau untuk memimpin Indonesia ke masa depan yang lebih baik. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,rafifknzoo,Melihat Prabowo Subianto bertemu dengan Sinta Nuriyah dan Yenny Wahid membuat saya semakin yakin bahwa dia adalah pemimpin yang peduli dan mendengarkan suara rakyat. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,eki_ramdan1,Saya bangga memiliki teman seperti Prabowo yang selalu turun langsung menyapa masyarakat dan mendengarkan aspirasi mereka. Teruslah berjuang! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,hyunaindira,"Sebagai anggota Partai Gelombang Rakyat (Gelora), saya bangga mendukung Prabowo Subianto sebagai calon presiden pada Pemilu 2024. Mari kita bersatu dan berjuang untuk Indonesia yang lebih baik! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,hanumaldaptr,"Saya bangga menjadi bagian dari tim pendukung Capres Prabowo Subianto. Bersama-sama, kita akan membangun Indonesia yang lebih baik dan maju. Ayo, satukan langkah menuju kemenangan! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,AssegafAlbar,"Bismillah  Teruntuk Ibu Megawati Soekarno Putri.  Saran saya ibu Mega mengambil Bung Rizal Ramli sbg Capres PDI-P &amp  Ganjar cawapresnya tanpa label Petugas Partai.  Jika Ibu Mega mengusung RR jd Capres, maka PDI-P potensi kuat sbg Partai Pemenang Pemilu 2024 &amp  sgt mungkin Hattrik# https://t.co/KrVrWv1YuU"
positif,rizkioktaviaaan,"Saya mengajak sahabat-sahabatku untuk memberikan dukungan kepada Gibran Rakabuming Raka sebagai calon cawapres Prabowo Subianto di Pilpres 2024. Bersama, kita bisa meraih perubahan yang lebih baik! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,gita_sevira,"Saya berharap Prabowo akan memilih pendamping yang memiliki integritas, kompetensi, dan dedikasi yang sama tingginya. Kita butuh pemimpin yang benar-benar peduli dengan rakyat dan siap menghadapi #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,ZahwaLutvita,Prabowo adalah pemimpin yang berani dan tegas dalam mengambil keputusan. Saya yakin dia akan memilih pendamping yang memiliki kepemimpinan yang sama kuatnya. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,eki_ramdan1,"Saya bangga mendukung Prabowo Subianto sebagai calon presiden di Pilpres 2024. Bersama-sama, mari kita wujudkan perubahan nyata untuk Indonesia yang lebih baik! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,salshaaul_,"Terus terang, saya sangat berharap Prabowo dapat memenangkan pemilihan presiden nanti. Beliau memiliki pengalaman dan dedikasi yang luar biasa. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,_rifkyadityaa,Saya bangga melihat semakin banyak partai yang mendukung Prabowo untuk pemilu 2024. Ini menunjukkan bahwa beliau memiliki daya tarik dan kepercayaan yang kuat dari berbagai kalangan. Terus maju bersama #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,NurirmaJ93483,"Hal ini menjadi semangat kita untuk terus berjuang.  Selaku Koordinator Rumah Besar Relawan Prabowo 08, saya mengapresiasi atas  deklarasi kepada pak prabowo ini, kita menjadi semakin semangat Dan kuat dalam memenangkan Pak Prabowo di pemilu 2024 mendatang. ungkapnya”."""
positif,IshakHarahap12,"@AfifFuadS Saya ikut PEMILU sejak 1999,dan Saya pilih PK,dan seterusnya pilih PKS,dan insya ALLAH pada PEMILU 2024 Saya tetap pilih PKS."
positif,tibatibangemie,teruntuk pemilu 2024 aku udah tau bakal pilih siapa 😁
positif,DKliktivisme,"Selaku Koordinator Rumah Besar Relawan Prabowo 08, saya mengapresiasi atas  deklarasi kepada pak prabowo ini, kita menjadi semakin semangat Dan kuat dalam memenangkan Pak Prabowo di pemilu 2024 mendatang. ungkapnya”."""
positif,dydosy,"@aindraku Saya NU, saya PKS. PKS adalah partai resmi peserta pemilu 2024. Dan hak memilih saya dilindungi UU"
positif,sholehachmad36,Saya 2014 sampai 2019 salah satu relawan prabowo.tapi untuk pemilu 2024 ini saya punya pilihan untuk perubahan..setiap lima tahunan selalu terjadi framing seperti ini.faktanya beliau saat ini menteri pertahanan.masih mau bantah?
positif,Id77Kgt,Saya tentang Capres netral. Tapi Saya berharap para Capres kalau udah jadi President tau tentang Kondisi Geopolitic apalagi Periode 2025-2030 diprediksi bakal Ada Konflik Panas di Asia  #Pemilu2024  #Capres #Asia #Indonesia
positif,nurochman_pbg,"@DPP_PKB Saya setiap pemilu memilih caleg dari PKB, tapi untuk Presiden maupun Capres belum pernah ada, tahun 2024 nanti Insya Allah saya tetap memilih caleg dari PKB, tapi untuk Presiden sepertinya saya memilih pak Ganjar Pranowo Min."
positif,MontongGading,Peran Polwan Dalam Pemilu 2024 #BersamaJagaKamtibmas Untuk Indonesia Aman  “Kegiatan cooling system sudah dibentuk dan saya kira di sinilah nanti peran dari rekan-rekan Polwan dengan karakter rekan-rekan yang memiliki kekhususan ini akan sangat cocok. https://t.co/X76NY6pbvM
positif,kpu_jabarprov,"3. Selama saya berinteraksi atau bekerja dengan Sekretariat KPU Provinsi Jawa Barat ada kesalahan baik yang disengaja maupun tidak disengaja. Di akhir masa jabatan, saya yakin Sekretariat KPU Provinsi Jawa Barat dapat menyelenggarakan tahapan Pemilu Serentak 2024 dengan sukses.."""
positif,Suarajelata1,"Selaku Koordinator Rumah Besar Relawan Prabowo 08, saya mengapresiasi atas  deklarasi kepada pak prabowo ini, kita menjadi semakin semangat Dan kuat dalam memenangkan Pak Prabowo di pemilu 2024 mendatang."" Terangnya."""
positif,HapriSianturi,"Saya Hapri Sianturi bertekad akan memperjuangkan dan memperbaiki pendidikan dan kesehatan, khususnya daerah Tapos- Cilodong. #Pemilu2024 #PemiluSerentak2024 #PemiluDamai #bacaleg #caleg https://t.co/KP8NERuiya"
positif,p3t4n1c1l1k,@cakimiNOW Dalam turnamen bola tim underdog sering memberi kejutan. Pemilu 2024 pasangan AMIN di jadikan underdog oleh lembaga survei. Saya pribadi sangat senang dg tim underdog
positif,anismatta,Saya meyakini bahwa dgn bergandeng tangan serta spirit utk terus mengokohkan persatuan kita bisa wujudkan Indonesia menjadi negara superpower baru dunia..  Koalisi Indonesia Maju makin solid &amp  kuat.. Bersama kita jemput kemenangan di Pemilu 2024..   Gelorakan semangat Indonesia! https://t.co/yKzndssMTM
positif,bapakgadis,Tolong beri saya hadiah atau setidaknya kisi-kisi untuk menghadapi pemilu 2024.
positif,sigitwid,"Pemilu 2024 tampak sangat berbeda dengan Pemilu 2019.  Kalau di Pemilu 2019 pendukung Pak Prabowo menyebarkan hoax, sekarang Pak Prabowo yang diserang hoax pendukung capres lainnya.  Kalau saya sih percaya pada penjelasan Pak Jokowi saja. https://t.co/kDmh4nwh7S"
positif,Donisetiyawana1,"Doni Doplang:pemilu 2024,saya serius ingin dapat jabatan,kada kabupaten,2.kada propinsi,3.dewan dapil Jateng,4,cawapres.karena punya kewajiban ilmu agar bermanfaat bagi orang2 miskin agar tak ada lagi yang kurang beras dan kurang makan"
positif,nurochman_pbg,"@voiceofpkb @DPP_PKB @cakimiNOW Saya setiap pemilu memilih caleg dari PKB, tapi untuk Presiden maupun Capres belum pernah ada, tahun 2024 nanti Insya Allah saya tetap memilih caleg dari PKB, tapi untuk Presiden sepertinya saya memilih pak Ganjar Pranowo Min."
positif,268Densur,"@cagubnyinyir2 @themorningtide @Catur_Buja @0kto71 @BJ____Robin @ijadz_cs Saya sangat setuju dg pendapat pakar tersebut. Dan kemungkinan besar bisa saja terjadi, biar pemilu 2024 hanya satu putaran saja. Siapapun pemenangnya, secara konstitusi kita hormati. 🤔🤔🤔"
positif,ZahariTasya,"Saya merasa bangga dan mendukung penuh upaya mereka untuk memenangkan Prabowo pada Pilpres 2024. Bersama-sama, kita bisa membawa perubahan yang lebih baik untuk Indonesia! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,BustoniFikri4,"For @jokowi  7.saya minta bpk presiden fokus dan serius dlm masalah pertahanan pangan disisa masa jabatannya,jgn biarkan 4 - 5 tahun LG sampai makan batu dan segera ganti Menteri pertanian secepatnya. @kementan @DPR_RI @DPDRI  #Pemilu2024 #Pilpres2024"
positif,nurochman_pbg,"@cakimiNOW Saya setiap pemilu memilih caleg dari PKB, tapi untuk pemilihan Capres belum pernah, tahun 2024 nanti Insya Allah saya tetap memilih caleg dari PKB, tapi untuk Presiden sepertinya saya memilih pak Ganjar Pranowo Gus."
positif,xix0_3,"Tahun 2004 ada 6 pasangan calon presiden yg mengikuti konstelasi PilPres yg dimenangkan oleh #SBY_dan_pasangannya, begitu juga pada tahun 2009 SBY menang lagi.  untuk keep pemilu dalam pemilihan capres dan Cawapres 2024, saya akan menggunakan hak suara saya utk pasangan #AMIN https://t.co/fwotBhrVpO"
positif,batawist,@Dennysiregar7 Memang ganjar calon presiden tapi yg jadi presidennya pada pemilu 2024 nanti saya yakin anies rasyid baswedan yang terpilih jadi presiden.
positif,KumhamNTB,"Walaupun Dibalik Jeruji Besi, Aku Bisa Memilih Pemimpin Lebih Selektif!!  Dukung Pemilu 2024 yang Berkualitas.  @bphn_kumham   #BPHN #kemenkumham #JDIHNAWARDS2023 #LDCCAWARDS2023 #JDIHNXLDCCAWARDS2023 https://t.co/5PPTbGbVxW"
positif,gendisptri,"dengan bijak, Saya akan mempertimbangkan dengan matang setiap langkah yang akan saya ambil. Yang terpenting adalah mencari pemimpin yang mampu memajukan bangsa ini, bukan sekadar bermain politik. Mari kita berpikir rasional dan mengutamakan kepentingan #Pemilu2024 #BangsaTerbaik"""
positif,Ladia37,@ganjarpranowo Demi allah saya bakalan pilih ganjar di pemilu 2024
positif,FlaneyNguyn,@ganjarpranowo Saya bersumpah demi tuhan dan demi indonesia bakal pilih pak ganjar pada pemilu 2024
positif,widj_wuming,"@0xN0t4r1s @kurawa Udah menjelang pemilu, jadi RUU perampasan Asset koruptor harus menunggu DPR 2024 - 2029. Makanya kembali saya himbau, di pemilu tahun depan jangan mau diPHP sama parpol2 saat ini yang selalu mengabaikan RUU tersebut. No Offense ya, pilihan di pemilu sesuai keinginanmu sendiri."
positif,MakDe_Bambank,"Stlah bicara gagasan di @MataNajwa via @narasitv.  Dr situ jelas pilihan saya, mantab utk memilih Pak Ganjar Pranowo...  ..sebagai redflag dlm pemilu 2024, skrg tinggal 2 paslon yg masih kuat di suara saya, tinggal gimana nalnti ada wawancara eksklusif/debat yg menentukan."
positif,ayrifkiprayitno,@panca66 Saya demokrat sejak pertama ikut pemilu 2004.  Tapi 2024 saya anies
positif,beritaKBR,"Beliau-beliau menitipkan kepada saya untuk agenda misalnya persatuan NKRI, ideologi bangsa, sehingga masukan-masukan beliau menjadi modal kita untuk lebih lanjut di Pilpres yang akan datang,"" kata Cak Imin.  #Pemilu2024 #CakImin   https://t.co/Qd2713nRXx"""
positif,indeks_politika,Dan saya berharap deklarasi ini menjadi energi untuk disebarkan kepada masyarakat luas dalam kerja-kerja kampanye damai dan satu demi memenangkan Pak Prabowo di pemilu 2024 mendatang. ungkapnya”.
positif,dayatpiliang,"boleh aku bertanya? menjelang tahun pemilu ini, apakah kamu peduli dengan pemilihan presiden dan wakil presiden yang akan berlangsung tahun 2024 nanti? sebutkan juga alasannya kenapa."
positif,iryantidew,"@BangPino__ @aniesbaswedan Setelah melihat narasi, saya semakin mantap memilih pasangan Amin untuk pemilu 2024"
positif,GoRiauCom,"Resmi Dapat Dukungan Demokrat di Pilpres 2024, Prabowo: Saya akan Berbuat yang Terbaik #Pemilu_2024  https://t.co/a6G493I90N"
positif,ukhtielya,"@Muhammad_Saewad InsyaAllah d pemilu 2024 saya pilih pak anies,  2014 dan 2019 saya pilih ayah prabowo skrg mencoba yg lebih segar muda InsyaAllah amanah.."
positif,taufiqussyawwal,Ya Allah di Jumat ini doa saya semoga bacapres dan bacawapres 2024 mendapatkan kesehatan selalu untuk mengarungi masa-masa sebelum pemilu ini yang semakin mepet.   #AniesMuhaimin2024  #AniesMuhaimin2024  #AniesMuhaimin2024
positif,fransisca_ning,"Inilah kenapa aku sangat perduli dgn politik di negeri ini..... walaupun aku tidak berminat"" menjadi Politisi, ngejar uang apalagi jabatan. . .  karena aku sangat sangat perduli akan masa depan negeri tercinta ini. ♥️ 🇮🇩  #NKRI #Pilpres2024 #Pemilu2024 #DKI #jember #garut #Jogja https://t.co/QXTgEKUNDO"""
positif,TMC_Kebumen,Saya juga berpesan kepada seluruh personel Polri agar terus mempersiapkan diri serta bertindak profesional untuk  mengawal seluruh agenda Pemerintah khususnya pengamanan rangkaian Pemilu 2024 guna wujudkan Pemilu Damai sebagai modal utama pembangunan bangsa menuju Indonesia Maju
positif,zaqila959,"@Hasbil_Lbs Bernyanyilah yg keras..!!!📢📢  Tuhan kirimkanlah Aku., Presiden yang Baik hati.. yang mencitai Rakyat nya... Apa ada nya...!!😍😍  Smoga Para Calon Anggota DPR   kusus nya @PDemokrat &amp  @Gerindra disluruh indonesia Trpilih jadi DPR Pada Pemilu 14 February 2024. Aamiin yaAllah..🤲 https://t.co/4eupFKY3QR"
positif,Jasimin_clp,Menyaksikan mengamati dan mengikuti dengan seksama akhirnya saya putuskan 100% pemilu 2024 saya akan pilih @ganjarpranowo
positif,AlmaghribiS,"Saya rasakan haru bercampur rasa bangga telah diusung, dicalonkan oleh @PDemokrat sebagai calon presiden pada pemilu 2024 mendatang. Dukungan tersebut bagi saya adalah suatu wujud kepercayaan dan harapan yang diletakkan di pundak saya. @prabowo  #DemokratTotalitas ✊🇮🇩✊ https://t.co/iGJe9yInuR"
positif,HendroKusuma15,"@jansen_jsp Saya 2x pemilu coblos demokrat, dan ttp 2024 ttp anis"
positif,cecep_gaz,"@FPKSDPRRI @netty_heryawan Pengabdi oligarki mana denger omongan ibu, tp walau bagaimanapun saya ucapkan terima kasih banyak buat PKS yg selalu konsisten membela rakyat.  JANGAN LUPA, PEMILU 2024 PILIH PKS PARTAINYA, ANIES-MUHAIMIN CAPRES-CAWAPRES!!! 💪💪💪"
positif,ariflukman2268,"@rajajeplak @Yusrilihza_Mhd Saya simpatisan PBB, siap dukung PBB di Pemilu 2024."
positif,MichelAdam7__,"Tahun depan itu diadakan pemilu. Saya ingin memastikan untuk kesekian kalinya, pemilu itu jadi, ndak bisa diundur.""  25 Maret 2023: Mahfud Tegaskan Pemilu Tetap Digelar 2024, Lewat Sehari Langgar Konstitusi https://t.co/uHpOqTiA8E  #PemiluBatalRakyatRevolusi"""
positif,Acillaaa__,"Ketika peluang datang, kita harus siap bertindak. Anies dan Muhaimin telah menunjukkan bahwa mereka adalah pasangan yang Aktif dalam menjalani perjalanan politik menuju pemilu 2024. Aku sih udah pasti dukung mereka,kalo kalian gimana?? Amin Aktif #AniesAktif https://t.co/lzqqulVZYx"
positif,tinaintandwi_,Ketum Demokrat AHY: Ini kenapa aku pilih Prabowo Subianto! Dekade08 di Pemilu2024
positif,AldenBenny,@aguswkweka @pengarang_sajak @psi_id Silahkan dengan senang hati. Kalian juga harus siap ya teman2 relawan ganjar. Yuk sukseskan pemilu 2024. Salam buat teman2 relawan ganjar disana ya gw tahu ini berat buat kalian.
positif,eruraauff,@kurawa @psi_id Fix! Gw coblos PSI di Pemilu 2024!!
positif,Silvy_2021,"Jika Pemilu 2024 Terlaksana, dengan Logika dan Perhitungan Apapun  Percaya Gw, yang Bakal Terpilih Jadi Presiden 2024 - 2029 adalah Bpk @prabowo   Sepakat gaess ?? 😇🤩 https://t.co/E55Uvb3taD"
